YearQuarterId,YearGroupId,Year,Quarter,FailureUnit,Zone,ZoneCategory,Location,Capital,Region,Direction,LocationCategory,CalandarYear
2025-Q1,G2025,1/1/2025,Q1,26,1,Low,Ariège,Foix,Occitanie,South,D,2025
2018-Q1,G2018,1/1/2018,Q1,26,1,Low,Ariège,Foix,Occitanie,South,D,2018
2018-Q1,G2018,1/1/2018,Q1,44,1,Low,Cher,Bourges,Centre-ValdeLoire,Central,D,2018
2018-Q1,G2018,1/1/2018,Q1,87,2,Medium,Côtes-d'Armor,SaintBrieuc,Bretagne,NorthWest,D,2018
2018-Q1,G2018,1/1/2018,Q1,116,3,High,Dordogne,"	Périgueux",Nouvelle-Aquitaine,SouthWest,D,2018
2018-Q1,G2018,1/1/2018,Q1,84,2,Medium,Doubs,"	Besançon",Bourgogne-Franche-Comté,East,D,2018
2018-Q1,G2018,1/1/2018,Q1,122,3,High,Drôme,Valence,Bourgogne-Franche-Comté,East,D,2018
2018-Q1,G2018,1/1/2018,Q1,44,1,Low,Gers,"	Auch",Occitanie,South,D,2018
2018-Q1,G2018,1/1/2018,Q1,46,2,Medium,Haute-Corse,"	Bastia",Corse,South,D,2018
2018-Q1,G2018,1/1/2018,Q1,43,1,Low,Hautes-Pyrénées,Tarbes,Occitanie,South,D,2018
2018-Q1,G2018,1/1/2018,Q1,319,4,VeryHigh,Hauts-de-Seine,Nanterre,Île-de-France,NorthCentral,D,2018
2018-Q1,G2018,1/1/2018,Q1,151,3,High,Ille-et-Vilaine,"	Rennes",Bretagne,NorthWest,D,2018
2018-Q1,G2018,1/1/2018,Q1,110,3,High,Indre-et-Loire,"	Tours",Nouvelle-Aquitaine,SouthWest,D,2018
2018-Q1,G2018,1/1/2018,Q1,50,2,Medium,Jura,LonsleSaunier,Bourgogne-Franche-Comté,East,D,2018
2018-Q1,G2018,1/1/2018,Q1,88,2,Medium,Landes,MontdeMarsan,Nouvelle-Aquitaine,SouthWest,D,2018
2018-Q1,G2018,1/1/2018,Q1,232,4,VeryHigh,Loire-Atlantique,"	Nantes",PaysdelaLoire,West,D,2018
2018-Q1,G2018,1/1/2018,Q1,33,1,Low,Lot,"	Cahors",Occitanie,South,D,2018
2018-Q1,G2018,1/1/2018,Q1,73,2,Medium,Lot-et-Garonne,"	Agen",Nouvelle-Aquitaine,SouthWest,D,2018
2018-Q1,G2018,1/1/2018,Q1,125,3,High,Meurthe-et-Moselle,Nancy,GrandEst,NorthEast,D,2018
2018-Q1,G2018,1/1/2018,Q1,138,3,High,Pyrénées-Orientales,"	Perpignan",Occitanie,South,D,2018
2018-Q1,G2018,1/1/2018,Q1,108,3,High,Saône-et-Loire,Macon,Bourgogne-Franche-Comté,East,D,2018
2018-Q1,G2018,1/1/2018,Q1,138,3,High,Savoie,"	Savoie",Auvergne-Rhône-Alpes,SouthEast,D,2018
2018-Q1,G2018,1/1/2018,Q1,98,3,High,Ain,BourgenBresse,Auvergne-Rhône-Alpes,SouthEast,D,2018
2018-Q1,G2018,1/1/2018,Q1,81,2,Medium,Aisne,Laon,Hauts-de-France,North,D,2018
2018-Q1,G2018,1/1/2018,Q1,60,2,Medium,Allier,Vichy,Auvergne-Rhône-Alpes,SouthEast,D,2018
2018-Q1,G2018,1/1/2018,Q1,38,1,Low,Alpes-de-Haute-Provence,Digne,Provence-Alpes-Côted'Azur,SouthEast,D,2018
2018-Q1,G2018,1/1/2018,Q1,373,4,VeryHigh,Alpes-Maritimes,Nice,Provence-Alpes-Côted'Azur,SouthEast,D,2018
2018-Q1,G2018,1/1/2018,Q1,50,2,Medium,Ardèche,Privas,Auvergne-Rhône-Alpes,SouthEast,D,2018
2018-Q1,G2018,1/1/2018,Q1,60,2,Medium,Ardennes,"	Charleville-Mézièes",GrandEst,NorthEast,D,2018
2018-Q1,G2018,1/1/2018,Q1,72,2,Medium,Aube,Troyes,GrandEst,NorthEast,D,2018
2018-Q1,G2018,1/1/2018,Q1,89,2,Medium,Aude,Carcassonne,Occitanie,South,D,2018
2018-Q1,G2018,1/1/2018,Q1,36,1,Low,Aveyron,Rodez,Occitanie,South,D,2018
2018-Q1,G2018,1/1/2018,Q1,269,4,VeryHigh,Bas-Rhin,Strasbourg,GrandEst,NorthEast,D,2018
2018-Q1,G2018,1/1/2018,Q1,536,4,VeryHigh,Bouches-du-Rhône,Marseille,Provence-Alpes-Côted'Azur,SouthEast,D,2018
2018-Q1,G2018,1/1/2018,Q1,172,3,High,Calvados,Caen,Normandie,North,D,2018
2018-Q1,G2018,1/1/2018,Q1,22,1,Low,Cantal,Aurillac,Auvergne-Rhône-Alpes,SouthEast,D,2018
2018-Q1,G2018,1/1/2018,Q1,75,2,Medium,Charente,Angoulême,Nouvelle-Aquitaine,SouthWest,D,2018
2018-Q1,G2018,1/1/2018,Q1,129,3,High,Charente-Maritime,LaRochelle,Nouvelle-Aquitaine,SouthWest,D,2018
2018-Q1,G2018,1/1/2018,Q1,58,2,Medium,Corrèze,Brive,Nouvelle-Aquitaine,SouthWest,D,2018
2018-Q1,G2018,1/1/2018,Q1,57,2,Medium,Corse-du-Sud,"	Ajaccio",Corse,South,D,2018
2018-Q1,G2018,1/1/2018,Q1,99,3,High,Côte-d'Or,"	Dijon",Bourgogne-Franche-Comté,East,D,2018
2018-Q1,G2018,1/1/2018,Q1,8,1,Low,Creuse,"	Guéret",Nouvelle-Aquitaine,SouthWest,D,2018
2018-Q1,G2018,1/1/2018,Q1,53,2,Medium,Deux-Sèvres,"	Niort",Nouvelle-Aquitaine,SouthWest,D,2018
2018-Q1,G2018,1/1/2018,Q1,235,4,VeryHigh,Essonne,"	Evry",Île-de-France,NorthCentral,D,2018
2018-Q1,G2018,1/1/2018,Q1,116,3,High,Eure,"	Evreux",Normandie,North,D,2018
2018-Q1,G2018,1/1/2018,Q1,85,2,Medium,Eure-et-Loir,Chartres,Centre-ValdeLoire,Central,D,2018
2018-Q1,G2018,1/1/2018,Q1,149,3,High,Finistère,"	Brest",Bretagne,NorthWest,D,2018
2018-Q1,G2018,1/1/2018,Q1,136,3,High,Gard,"	Nîmes",Occitanie,South,D,2018
2018-Q1,G2018,1/1/2018,Q1,368,4,VeryHigh,Gironde,"	Bordeaux",Nouvelle-Aquitaine,SouthWest,D,2018
2018-Q1,G2018,1/1/2018,Q1,141,3,High,Haut-Rhin,Colmar,GrandEst,NorthEast,D,2018
2018-Q1,G2018,1/1/2018,Q1,287,4,VeryHigh,Haute-Garonne,Toulouse,Occitanie,South,D,2018
2018-Q1,G2018,1/1/2018,Q1,41,1,Low,Haute-Loire,"	LePuy",Auvergne-Rhône-Alpes,SouthEast,D,2018
2018-Q1,G2018,1/1/2018,Q1,18,1,Low,Haute-Marne,Chaumont,GrandEst,NorthEast,D,2018
2018-Q1,G2018,1/1/2018,Q1,41,1,Low,Haute-Saône,Vesol,Bourgogne-Franche-Comté,East,D,2018
2018-Q1,G2018,1/1/2018,Q1,171,3,High,Haute-Savoie,Annecy,Auvergne-Rhône-Alpes,SouthEast,D,2018
2018-Q1,G2018,1/1/2018,Q1,40,1,Low,Hautes-Alpes,Gap,Provence-Alpes-Côted'Azur,SouthEast,D,2018
2018-Q1,G2018,1/1/2018,Q1,301,4,VeryHigh,Hérault,Montpellier,Occitanie,South,D,2018
2018-Q1,G2018,1/1/2018,Q1,50,2,Medium,Indre,Châteauroux,Centre-ValdeLoire,Central,D,2018
2018-Q1,G2018,1/1/2018,Q1,280,4,VeryHigh,Isère,"	Grenoble",Auvergne-Rhône-Alpes,SouthEast,D,2018
2018-Q1,G2018,1/1/2018,Q1,67,2,Medium,Loir-et-Cher,"	Blois",Centre-ValdeLoire,Central,D,2018
2018-Q1,G2018,1/1/2018,Q1,168,3,High,Loire,"	SaintEtienne",Auvergne-Rhône-Alpes,SouthEast,D,2018
2018-Q1,G2018,1/1/2018,Q1,105,3,High,Loiret,"	Orléans",Centre-ValdeLoire,Central,D,2018
2018-Q1,G2018,1/1/2018,Q1,8,1,Low,Lozère,"	Mende",Occitanie,South,D,2018
